FSC_median,FSC_mean,FSC_sd,FL1_median,FL1_mean,FL1_sd,normalizedGFP_median,normalizedGFP_mean,normalizedGFP_sd,PopProp_0copy,PopProp_1copy,PopProp_2copy,PopProp_3plus,Cells counted
DGY#1_T0_A01,286069.5,338395.1207,202952.714270241,1053,1326.82483,1329.43650615579,0.00338652250937388,0.00442205999436537,0.0045880195543618,1.02745577858175,1.05477443648676e-05,0,0,94807
DGY#620_T0_B01,276963.5,323023.15559,195938.47557876,25110.5,31530.70229,38320.1488255181,0.109751639034207,0.0962111485875066,0.0793467545573199,0.320872635295358,0.302250092216894,0.0975285872371819,1.05390736154292e-05,94885
DGY#500_T0_C01,275628.5,323081.72714,187203.869981781,35736,40557.29022,36665.1597215933,0.139421175824198,0.127584596137739,0.079909190532444,0.218560414560162,0.376790529154028,0.168109622514324,2.10650488709134e-05,94944
DGY#1315_T0_D01,246890,279174.70096,149271.565827507,28087.5,31345.06825,31674.6073732521,0.138374565586453,0.114207331925172,0.091745128841017,0.368032786885246,0.264441328731665,0.167029767040552,4.31406384814495e-05,92720
DGY#1657_T0_E01,336104,403954.23099,264931.279963721,2019,2397.47066,2380.35268208475,0.00557127314280691,0.00690144286443225,0.00653630953222893,1.12845428602391,0.000120410841792195,3.61232525376585e-05,0,83049
DGY#2076_T0_F01,314826,353801.96263,177720.050971416,21248.5,21072.01106,18217.6928585699,0.0699045438440933,0.0662743041701197,0.05463988020027,0.395335367891114,0.168096054888508,0.0125303512953599,0,89782
DGY#2071_T0_G01,279423.5,323524.39074,177714.442834601,36840,41064.85003,35421.8369431768,0.141534796039253,0.129049624068187,0.079369778154331,0.228872205678816,0.389401501488907,0.17441177704148,4.19410309105398e-05,95372
DGY#2150_T0_H01,251307,283052.49859,148036.554800985,23627,26567.46109,26254.7010147981,0.113121027890707,0.0944150717968294,0.0726371519447264,0.348305111940698,0.304459443558998,0.0685442895803695,0,93487
DGY#2084_T0_A02,281849,323773.70522,177328.220740851,34306,39152.41041,38897.0946088106,0.138842126461134,0.121891086299172,0.0959728025068849,0.29556645052454,0.290969476514313,0.212156676683009,4.21740734883231e-05,94845
DGY#2086_T0_B02,260065.5,293428.63613,156555.801970806,29825,32527.77211,32041.2905641013,0.133216231479305,0.113124280838424,0.087973189082006,0.337639653648302,0.302227003077972,0.154313953116846,4.26016848966377e-05,93893
DGY#2089_T0_C02,273487,315184.07753,174301.725466891,47553,55393.09172,62392.4446813027,0.212734982687169,0.179867807434698,0.164553481188234,0.367664363192914,0.0461051325388845,0.470197471170921,0.0140026957061252,93482
DGY#2090_T0_D02,249518,280448.93788,145320.721629191,27325,29878.86027,30057.7220876106,0.134463751400376,0.1089213960341,0.0887807174131181,0.382860507440317,0.274981265389145,0.141912000856439,7.49384434214752e-05,93410
DGY#1972_T0_E02,277918.5,322613.71273,186408.127372152,54593,66021.65611,75707.2095996363,0.244457989689288,0.205259887309566,0.175335811828064,0.273616566268249,0.0255460156473316,0.489291423610744,0.0267423271965021,94457
DGY#2135_T0_F02,294965,330878.5564,164945.257920935,44552,45340.08312,36207.8083935496,0.15227704629437,0.142782354674558,0.0899440182764231,0.226675287782748,0.413940768692629,0.261643806576074,4.2398931546925e-05,94342
DGY#2143_T0_G02,370304,401672.41381,174386.702976512,52785.5,56034.56837,49907.0178255168,0.174338797573492,0.140486931490828,0.102795745021546,0.314645051961045,0.318922395312277,0.303089078993038,3.06253700565548e-05,97958
DGY#2144_T0_H02,251396.5,284638.95876,148760.56059771,33563,37348.01042,25820.1406249314,0.137041778134324,0.134382466493833,0.0594574496929184,0.112712044105174,0.420928753180662,0.11469465648855,1.06022052586938e-05,94320
DGY#1657_T0_A03,274580,322869.98063,190171.857435781,30662,35864.98837,37326.8170807511,0.127215960127321,0.112287132521469,0.0868205766391842,0.300021141649049,0.31622621564482,0.153372093023256,6.34249471458774e-05,94600
DGY#2076_T0_B03,268482,303447.97953,155610.684527813,39086,40734.38612,35808.919216621,0.157908517972377,0.138077358821625,0.0991804821122808,0.295846618382989,0.292246457906628,0.268565636943348,8.44612428471885e-05,94718
DGY#2071_T0_C03,283787,328838.76677,191243.808458399,28918,34135.38396,38581.9280661751,0.120557915576853,0.102965194587696,0.0826945746791375,0.341133030910434,0.331290220487393,0.12050849245701,3.16489081126701e-05,94790
DGY#2150_T0_D03,293332,335255.16899,180697.137957953,33505,37100.27246,35113.7252473561,0.126575799267086,0.111677232632591,0.0788531278861818,0.272331521224803,0.389207263856321,0.126696880158989,0,95101
DGY#2084_T0_E03,271806.5,312395.98055,170158.032479436,33569,36766.23857,36474.3830776818,0.136093052424477,0.121087175991318,0.0986654406495531,0.32154826628648,0.28141591037249,0.219004351573056,5.31977146261797e-05,93989
DGY#2086_T0_F03,245007,277603.01598,150392.856040294,25838,28689.28787,33375.3039931529,0.118524893779055,0.104956487675335,0.0744928617092918,0.248595686291325,0.299976416105656,0.0923416663093349,1.07199519746152e-05,93284
DGY#2089_T0_G03,307392.5,345657.88217,171819.83660249,24262,24432.44674,16706.3927408626,0.0803898051427413,0.0776453252060149,0.048904231780262,0.237091326519349,0.188668624031436,0.0105852226318462,0,90598
DGY#2090_T0_H03,328830,363174.23989,176698.957101646,16352,17361.02317,15304.2687489123,0.0569841213369471,0.0508069006057449,0.0389523938536608,0.378007384785639,0.0614512061461847,0.00063845408983049,0,93977
DGY#1972_T0_A04,277959,322452.12925,181715.933269239,60144.5,65360.37955,68020.113957533,0.243707353515656,0.209966662190532,0.175427469253343,0.330960548885077,0.0410806174957118,0.521944682675815,0.022491423670669,93280
DGY#2135_T0_B04,250567.5,281011.72059,142306.306173267,29986,32584.60508,32753.8342491101,0.140404611506289,0.118331355437238,0.0998402247070385,0.358588280425818,0.231599586543482,0.213505535841778,5.3280479098068e-05,93843
DGY#2143_T0_C04,269001.5,301760.00333,156362.367593058,18785.5,25196.20065,28713.8023949568,0.088402829908006,0.084338605824888,0.0772317647505169,0.418383232898764,0.268737489806509,0.0734037257871493,0,94423
DGY#2144_T0_D04,282183.5,318999.55047,166915.346995116,25360,29136.33345,30005.8015914192,0.109332321045235,0.0916422463453887,0.0729970645041498,0.349661594081049,0.333813267193543,0.0686060198419371,1.0509500588532e-05,95152
