SAMPLE,STRAIN,POPULATION,VESSEL,TIMEPOINT,COUNT,FSC_MEDIAN,FSC_MEAN,FSC_SD,FL1_MEDIAN,FL1_MEAN,FL1_SD,NORMALIZED_GFP_MEDIAN,NORMALIZED_GFP_MEAN,NORMALIZED_GFP_SD,PopProp_0copy,PopProp_1copy,PopProp_2copy,PopProp_3plus,Cells counted
2,DGY#1_T0_A01,DGY#1,0_Copy_Control,1,0,93721,289528,334267.440274858,178914.079281532,1046,1301.01458584522,1280.69165312445,0.00334294138477035,0.00433453518670405,0.00446054877123599,0.983216141526446,1.06699672432006e-05,0,0,93721
3,DGY#620_T0_B01,DGY#620,0_Copy_Control,2,0,93714,279069,315461.835168705,160581.462669985,25846.5,30181.7698316153,30944.6659015704,0.110508934833788,0.0957228606221379,0.0778757982309702,0.306720447318437,0.299357619992744,0.0891755767548072,1.06707642401349e-05,93714
4,DGY#500_T0_C01,DGY#500,1_Copy_Control,3,0,94044,278662.5,320287.308004764,166670.37618873,36301,40097.7311683893,33329.5859946995,0.139165269626262,0.127289212563515,0.0782013645082546,0.204861554166135,0.372846752583897,0.157798477308494,2.12666411466973e-05,94044
5,DGY#1315_T0_D01,DGY#1315,2_Copy_Contol,4,0,92254,254231,285095.285689509,139236.269523824,29942,32264.6829514167,30965.6962638778,0.139590486100089,0.115224979166584,0.0903968303353279,0.338305114141392,0.261961540962993,0.161597329113101,4.33585535586533e-05,92254
6,DGY#1657_T0_E01,DGY#1657,Wild_Type,5,0,79881,334270,374103.654799014,185534.239812298,1890,2153.93432731188,2128.15852558228,0.00536448720711268,0.00657078443740883,0.00625223409735132,0.963157697074398,0.00012518621449406,3.7555864348218e-05,0,79881
7,DGY#2076_T0_F01,DGY#2076,Genomic_Architecture_Mutant,6,0,89101,320435,355139.172882459,165955.175079932,21723,21110.4555728892,17675.0161379777,0.0695293706027486,0.0650471263483199,0.0527282418557803,0.354171109190694,0.152568433575381,0.00987643236327314,0,89101
8,DGY#2071_T0_G01,DGY#2071,Genomic_Architecture_Mutant,7,0,94614,281979.5,321586.926184286,163068.250143986,37235.5,40800.8204176972,33075.3401709751,0.14120558469336,0.12886169731463,0.077587573795149,0.213647028980912,0.386253619971674,0.162037330627603,4.22770414526391e-05,94614
9,DGY#2150_T0_H01,DGY#2150,Genomic_Architecture_Mutant,8,0,93064,258849.5,289104.243413135,139423.972583558,25000,27285.5875956331,25731.1066503562,0.114090278362741,0.0952425415025694,0.0717267424126776,0.323025015043411,0.302050202011519,0.0651057336886444,0,93064
10,DGY#2084_T0_A02,DGY#2084,DNA_repair_mutant,9,0,94013,285194,321446.078287045,157368.84262601,34990,38784.8399263932,36273.1687497132,0.139309646860966,0.121543445690967,0.0942122175677835,0.28037611819642,0.287066682267346,0.200685011647325,3.19104804654675e-05,94013
11,DGY#2086_T0_B02,DGY#2086,DNA_repair_mutant,10,0,93312,265341.5,295439.189257545,140950.665511123,30887,32830.9526427469,30418.4245499319,0.133718076503505,0.113304603963867,0.0863978539091936,0.313936042524005,0.298793295610425,0.146326303155007,4.28669410150892e-05,93312
12,DGY#2089_T0_C02,DGY#2089,DNA_repair_mutant,11,0,92702,276646.5,313372.189478113,156211.021252108,49517,55142.9372289702,58240.2622683836,0.216311424049324,0.18010151640981,0.161524370699636,0.339442514724601,0.0433863347069103,0.459299691484542,0.0121140859959871,92702
13,DGY#2090_T0_D02,DGY#2090,DNA_repair_mutant,12,0,92946,256135.5,285512.75525574,135934.089083878,28807.5,30639.273524412,29423.348816634,0.135778478896123,0.109871027994322,0.0873302255961653,0.354420846513029,0.273212402900609,0.135745486626643,6.45536117745788e-05,92946
14,DGY#1972_T0_E02,DGY#1972,GAP1_location_mutant,13,0,93549,281534,320023.635292734,163507.531807688,56325,65036.1301136303,68164.0952460263,0.245966312323104,0.204613548039031,0.172192483290413,0.258666581149986,0.0231750205774514,0.484109931693551,0.0248746646142663,93549
15,DGY#2135_T0_F02,DGY#2135,GAP1_location_mutant,14,0,93464,297279,326629.526780365,142060.332771949,44552,44378.9924248909,31581.9283758884,0.151429523660406,0.141232454096466,0.0870309435090716,0.210787040999743,0.407707780535821,0.237770692459129,3.20979200547805e-05,93464
16,DGY#2143_T0_G02,DGY#2143,GAP1_location_mutant,15,0,97215,367584,395971.496322584,163789.395977015,53363,56071.0531810934,48304.7789929026,0.175459767989862,0.142430182519379,0.102149517603949,0.300344597027208,0.317523015995474,0.300961785732654,2.0572956848223e-05,97215
17,DGY#2144_T0_H02,DGY#2144,GAP1_location_mutant,16,0,93896,257287.5,289151.102933032,140731.552771981,34335.5,37831.1989967624,24697.7628956685,0.13613139383384,0.133659054380818,0.0574657490720568,0.102091675896737,0.417451222629292,0.106564709891795,1.06500809406151e-05,93896
18,DGY#1657_T0_A03,DGY#1657,Wild_Type,17,0,93637,278025,319947.762316178,168232.094631642,31325,35235.7634588891,33899.2104352327,0.12728424363324,0.111503863400286,0.084999983631143,0.285848542776894,0.312312440595064,0.142390294434892,6.40772344265622e-05,93637
19,DGY#2076_T0_B03,DGY#2076,Genomic_Architecture_Mutant,18,0,94068,271769,303104.760885742,141939.720975506,39670,40655.0054641323,33848.2691373219,0.157734808223829,0.137530090040892,0.0969783798545045,0.277278139218438,0.289078113704979,0.253444316877153,7.44142535187311e-05,94068
20,DGY#2071_T0_C03,DGY#2071,Genomic_Architecture_Mutant,19,0,93683,285638,322802.889937342,163806.108795896,29610,33256.3296649339,33148.4233668923,0.121390834254822,0.103074146049857,0.0811970039212977,0.321456400841134,0.328533458578397,0.111066041864586,2.13485904593149e-05,93683
21,DGY#2150_T0_D03,DGY#2150,Genomic_Architecture_Mutant,20,0,93966,294521.5,329655.883159866,158007.381495134,33896,36319.3503288423,31355.5204947853,0.126791577917233,0.111544696797734,0.0773934229459019,0.256688589489815,0.383649405103974,0.116680501457974,0,93966
22,DGY#2084_T0_E03,DGY#2084,DNA_repair_mutant,21,0,93194,275059.5,310261.889799773,150436.659915943,34091.5,36291.4273880293,33849.2320903129,0.136139530894741,0.119804262862723,0.0961762765539246,0.303281327124064,0.276959890121682,0.202330622143056,4.29212181041698e-05,93194
23,DGY#2086_T0_F03,DGY#2086,DNA_repair_mutant,22,0,92816,251785.5,282262.615357266,136227.614928965,27036,29102.1429171695,25028.0674634854,0.118678071017523,0.104704915827942,0.0730991731304095,0.232643078779521,0.295961903120152,0.087614204447509,1.07740044819859e-05,92816
24,DGY#2089_T0_G03,DGY#2089,DNA_repair_mutant,23,0,89999,313390,347820.997055523,161767.619304472,24639,24559.5993844376,16173.4501523057,0.0795280111931547,0.0765714243925789,0.047137534643211,0.211291236569295,0.172279691996578,0.00830009222324692,0,89999
25,DGY#2090_T0_H03,DGY#2090,DNA_repair_mutant,24,0,93350,331884.5,362991.24929834,166313.644302172,16787,17477.7338725228,14856.8069612189,0.0572407910613285,0.0507254813815916,0.0381043837672712,0.350958757364756,0.0573111944295661,0.000599892876272094,0,93350
26,DGY#1972_T0_A04,DGY#1972,GAP1_location_mutant,25,0,92295,281311,319109.897025841,158810.329808515,61500,64363.7041876591,61786.812822699,0.244030085370867,0.208448645563236,0.170701237654745,0.306777181862506,0.0387669971287719,0.509594235874099,0.0192968199794138,92295
27,DGY#2135_T0_B04,DGY#2135,GAP1_location_mutant,26,0,93359,256067,284438.905493846,131704.129496817,31292,32979.3434162748,31732.4450784124,0.14141889711687,0.118057655486455,0.0979208623580579,0.336925202712111,0.229029873927527,0.203879647382684,5.35567004787969e-05,93359
28,DGY#2143_T0_C04,DGY#2143,GAP1_location_mutant,27,0,93820,273583,304166.186868472,145728.67328496,20578.5,25580.8578554679,27867.2252126815,0.0950643652568906,0.0849813500508303,0.0764581184936346,0.393157109358346,0.266616926028565,0.070049030057557,0,93820
29,DGY#2144_T0_D04,DGY#2144,GAP1_location_mutant,28,0,94448,285504.5,319472.783044638,155775.35522913,26233,29296.6742228528,28748.7041356457,0.110485249036272,0.092226679319935,0.0720436836066448,0.329514653565983,0.330086396747417,0.0645646281551753,0,94448
30,DGY#2084_T0_E04,DGY#2084,DNA_repair_mutant,29,0,96964,379312,410362.431355967,172267.079906724,55888,59293.4284476713,48317.5750334666,0.173177500199928,0.144784154636992,0.0955933216626916,0.266232828678685,0.38137865599604,0.274813332783301,1.03131058949713e-05,96964
31,DGY#2086_T0_F04,DGY#2086,DNA_repair_mutant,30,0,93112,267347,297369.481409485,137798.273009385,35423.5,35730.3250601426,29139.2170833602,0.140288714265048,0.1243156944392,0.0869909258324873,0.272607182747659,0.332191339462153,0.176013832803505,1.07397542744222e-05,93112
32,DGY#2089_T0_G04,DGY#2089,DNA_repair_mutant,31,0,95412,305857,335703.532794617,151141.145812973,36733,37775.9698989645,29120.5909599475,0.126032519190752,0.113970814376693,0.0719571200970248,0.206493942061795,0.442627761707123,0.108634134071186,0,95412
33,DGY#2090_T0_H04,DGY#2090,DNA_repair_mutant,32,0,94350,325505,357619.848203498,158255.560698778,38174.5,38640.0533015368,31382.2647880726,0.124563575642133,0.11013027307147,0.0755496066703477,0.272665606783254,0.45800741918389,0.110302066772655,0,94350
34,DGY#1_T6_A01,DGY#1,0_Copy_Control,1,6,89993,256311,291363.151689576,147152.67641055,688,867.950985076617,1577.0248293166,0.0025184766746693,0.00324440190021395,0.0043789557221834,0.993966197370907,0.000155567655262076,6.66718522551754e-05,0,89993
35,DGY#620_T6_B01,DGY#620,0_Copy_Control,2,6,90772,256944.5,294859.100967259,154397.700611964,36984,41246.0255475257,33248.021735816,0.149970349596669,0.141687885227531,0.0783724447816283,0.158220596659763,0.365244789142026,0.175406513021637,0.000121182743577315,90772
36,DGY#500_T6_C01,DGY#500,1_Copy_Control,3,6,90688,273536.5,314805.397064661,164263.953274482,41148,45903.6860113797,34308.6468225892,0.151085337315837,0.149360603952068,0.077394081272491,0.123621647847565,0.400494001411433,0.204007145377558,0.000275670430486944,90688
37,DGY#1315_T6_D01,DGY#1315,2_Copy_Contol,4,6,89626,258516.5,293696.474482851,149351.952321601,34931,38090.6058175083,30011.6832198779,0.142373736757152,0.132928196132982,0.0765418979062426,0.172081761988709,0.364269296855823,0.143741771360989,0.000111574766250865,89626
38,DGY#1657_T6_E01,DGY#1657,Wild_Type,5,6,82366,325379.5,374577.482735595,197611.171230969,1478,3773.01625670787,11804.0277244642,0.00422593935868383,0.0125306080654674,0.0391030135243476,0.942573391933565,0.0167909088701649,0.013573561906612,0,82366
39,DGY#2076_T6_F01,DGY#2076,Genomic_Architecture_Mutant,6,6,86950,298192.5,331224.07947096,156361.495758005,23542,23718.6488901668,17643.1609651214,0.0782472213977327,0.0759572680100226,0.0510222712103757,0.222277170787809,0.156538240368028,0.0130764807360552,0,86950
40,DGY#2071_T6_G01,DGY#2071,Genomic_Architecture_Mutant,7,6,92165,272762,310555.642640916,157824.694554302,37875,42298.8182064775,30039.5573240136,0.139635300242863,0.138764642593926,0.0672361966622025,0.106439537785493,0.428720230022243,0.145044214181088,0.00015190148103944,92165
41,DGY#2150_T6_H01,DGY#2150,Genomic_Architecture_Mutant,8,6,84849,251088,285722.397765442,145044.575541175,25029,27709.6310858113,26282.9875157271,0.113353757662294,0.0978964024371221,0.0696779063491573,0.275265471602494,0.297292837864913,0.0552864500465533,4.71425709201051e-05,84849
42,DGY#2084_T6_A02,DGY#2084,DNA_repair_mutant,9,6,91064,255271,289180.761025213,140876.656871228,43767,47294.8395963279,31383.1305816222,0.170649279871931,0.169272339588784,0.0859899748124957,0.113810067644733,0.328153825880699,0.302490556092419,0.00030747606079241,91064
43,DGY#2086_T6_B02,DGY#2086,DNA_repair_mutant,10,6,89450,246574.5,276366.208518726,133394.33964406,34570.5,37169.3129569592,27657.6821959021,0.14507994622343,0.137471319092021,0.0770830564885993,0.158692006707658,0.350519843487982,0.153135830072666,0.000122973728339855,89450
