Generation,Sample,Well,Nutrient,Pump,Strain,Population,FSC_median,FSC_mean,FSC_sd,FL1_median,FL1_mean,FL1_sd,normalizedGFP_median,normalizedGFP_mean,normalizedGFP_sd,PopProp_0copy,PopProp_1copy,PopProp_2copy,PopProp_3plus,Cells counted,Proportion_total,
5,gln_h_ctrl0,C03,Glutamine,1,DGY1,0_copy_ctrl,274984,313090.459,151447.6244,923,1228.794713,1273.017845,0.003099138288,0.004361270086,0.004867033223,0.9992832286,0.001059575131,0,0,96265,1.000342804,
5,gln_h_bc02,C04,Glutamine,5,DGY1706bc,Experimental,297055,371371.9489,213230.4504,48779,57520.21766,32929.00731,0.1530753345,0.1616576525,0.04486403685,0.005179993906,0.966340922,0.03045967005,0,91892,1.001980586,
5,gln_h_bc06,C05,Glutamine,9,DGY1706bc,Experimental,430351,455716.2352,216177.3724,63534,71734.08261,38739.62081,0.1527786677,0.1602419831,0.04164405063,0.0101681745,0.9524116113,0.03877449076,0,90085,1.001354277,
5,gln_h_ctrl1,D03,Glutamine,2,DGY500,1_copy_ctrl,252796,283316.0066,124886.5343,49191,55769.19746,27510.774,0.189221585,0.1995558987,0.05359066324,0.001625949328,0.8784963056,0.1259596188,0,97174,1.006081874,
5,gln_h_bc03,D04,Glutamine,6,DGY1706bc,Experimental,251284,305178.6716,169980.073,44266,51682.94049,28834.06402,0.1661813718,0.1752723874,0.04799614062,0.004182529335,0.9489230769,0.05046153846,0,95875,1.003567145,
5,gln_h_bc07,D05,Glutamine,10,DGY1706bc,Experimental,294398,359785.8019,195863.3091,50119,57394.43476,31252.66511,0.1563404941,0.165478386,0.04471597564,0.005705715155,0.9610144426,0.03575511574,0,95343,1.002475273,
5,gln_h_ctrl2,E03,Glutamine,3,DGY1315,2_copy_ctrl,270036,306929.677,147875.51,85667,99125.87069,51865.31492,0.3130917979,0.3297236093,0.08636464385,0.005041389183,0.2575880168,0.7478683015,0,96402,1.010497708,
5,gln_h_bc04,E04,Glutamine,7,DGY1706bc,Experimental,253929,311423.8361,177102.2726,43576,51613.36849,29954.64144,0.162173043,0.1711472397,0.04664752416,0.004981177596,0.9551382043,0.04313554211,0,96162,1.003254924,
5,gln_h_bc08,E05,Glutamine,11,DGY1706bc,Experimental,287515,349102.6314,187860.0811,49427,57701.83805,32974.61811,0.1608717895,0.1688506478,0.0425842926,0.00545603535,0.9578868754,0.03932287075,0,96407,1.002665782,
5,gln_h_bc01,F03,Glutamine,4,DGY1706bc,Experimental,259819,319143.3715,180543.1026,44907,52676.60091,30316.35545,0.161633288,0.1711744629,0.04891882499,0.00523923018,0.9522799576,0.04569364678,1.05E-05,95243,1.003223334,
5,gln_h_bc05,F04,Glutamine,8,DGY1706bc,Experimental,278943,330383.3945,174015.2389,46117,52601.74286,27329.48156,0.1560956534,0.1653183162,0.04687999276,0.006025682893,0.9601904621,0.0368915061,0,94927,1.003107651,
5,ur_h_ctrl1 C06 13 Urea DGY500 1_copy_ctrl,,,,,,364867,400629.7023,161655.0533,86941,93111.53602,39701.52742,0.2259125731,0.2360524332,0.05977739287,0.003026463227,0.8281932329,0.1682252778,0,95491,0.9994449739,
5,ur_h_bc03 C07 17 Urea DGY1706bc Experimental,,,,,,574917,608110.7858,231390.3108,78410,95917.85996,57388.30537,0.1453290228,0.149572584,0.04528466845,0.02975142795,0.8121458501,0.1563312628,0,88063,0.9982285409,
5,ur_h_bc07 C08 21 Urea DGY1706bc Experimental,,,,,,495884.5,529834.0725,223175.1919,71252.5,87448.07497,52807.42916,0.1549615039,0.1596931424,0.04830324449,0.02349505027,0.8474372561,0.1264183618,0,77378,0.9973506681,
